,Id,recursion
0,1,
1,2,725161963867.0
2,4,
3,5,
4,6,
5,9,
6,10,
7,12,
8,14,
9,17,
10,19,
11,22,32855719753.0
12,25,
13,27,
14,29,
15,30,
16,31,
17,32,
18,33,
19,37,
20,38,
21,39,
22,42,
23,43,
24,45,
25,47,
26,48,
27,50,
28,54,
29,55,
30,56,
31,58,
32,60,7.665825464026676e+17
33,62,
34,68,
35,70,
36,71,
37,74,
38,78,
39,79,
40,80,
41,81,
42,83,5.0
43,84,87960930222080.0
44,85,
45,87,
46,88,
47,90,96147057896403.0
48,93,
49,96,
50,97,
51,98,
52,99,
53,101,
54,103,
55,106,
56,114,335.0
57,115,
58,116,
59,117,
60,120,
61,121,
62,122,
63,124,267786673.0
64,125,
65,127,
66,128,
67,129,
68,131,
69,138,8.0
70,140,
71,142,
72,143,
73,144,
74,145,
75,146,
76,148,
77,151,
78,153,
79,154,
80,156,
81,157,302.0
82,161,
83,169,
84,170,
85,172,
86,173,
87,175,
88,180,
89,182,
90,183,136.0
91,184,
92,187,
93,189,
94,191,
95,193,
96,194,
97,195,0.0
98,196,226257606.0
99,197,
100,199,108.0
101,200,
102,201,
103,206,1444444444441.0
104,207,
105,209,
106,214,
107,216,
108,218,
109,228,
110,230,
111,231,
112,232,
113,233,
114,234,
115,235,
116,236,
117,239,5662052980.0
118,240,
119,243,
120,247,
121,248,
122,250,
123,252,
124,253,
125,257,
126,260,
127,261,
128,265,
129,267,
130,269,21.0
131,270,
132,273,
133,274,
134,279,
135,281,23.0
136,283,
137,285,92470734734.0
138,287,90486.0
139,291,
140,292,
141,301,
142,307,
143,309,
144,312,
145,314,
146,316,
147,321,
148,322,
149,324,2147483676.0
150,325,
151,330,
152,331,
153,333,
154,337,
155,338,
156,341,
157,342,
158,343,
159,344,
160,345,
161,346,
162,348,
163,349,
164,351,
165,353,
166,355,
167,356,
168,357,0.0
169,358,26728034.0
170,360,
171,362,
172,363,
173,364,
174,365,149057.0
175,367,
176,368,
177,369,
178,370,
179,371,
180,375,
181,376,144.0
182,380,
183,381,
184,382,
185,383,
186,384,
187,385,
188,388,
189,389,
190,390,
191,391,
192,393,
193,396,
194,397,
195,398,
196,399,
197,401,2600.0
198,402,
199,404,
200,405,2.3335214333671834e+18
201,407,
202,409,
203,411,
204,412,
205,413,
206,414,
207,416,106929.0
208,417,
209,418,3.242591731706757e+17
210,419,
211,422,
212,423,
213,424,
214,427,
215,432,
216,433,139.0
217,435,
218,440,
219,442,1.0
220,445,
221,446,
222,449,
223,450,
224,452,
225,453,
226,454,
227,456,
228,457,
229,459,
230,460,
231,462,
232,465,
233,468,
234,471,1941624275199.0
235,472,
236,473,
237,474,
238,476,
239,478,
240,480,
241,481,
242,482,
243,484,0.0
244,485,
245,487,
246,488,
247,489,
248,491,
249,493,
250,495,
251,496,
252,497,
253,498,
254,500,
255,501,
256,504,
257,507,
258,508,
259,509,
260,512,
261,513,
262,514,
263,522,
264,523,
265,524,
266,527,
267,528,
268,529,2.0
269,530,
270,531,
271,532,1.0
272,536,
273,537,
274,538,
275,539,
276,542,
277,543,
278,544,
279,545,
280,547,
281,548,47681972428112.0
282,550,
283,551,
284,552,
285,553,
286,560,
287,561,
288,562,
289,563,
290,564,
291,565,
292,567,
293,570,
294,573,
295,574,
296,575,
297,576,
298,577,
299,580,
300,583,85.0
301,586,
302,587,
303,591,
304,593,
305,594,
306,596,
307,599,
308,600,
309,603,13732910155.0
310,605,
311,607,
312,613,
313,616,
314,617,
315,625,
316,626,
317,629,
318,633,19465108.0
319,635,
320,636,
321,639,
322,640,
323,642,
324,647,
325,648,
326,649,
327,650,
328,652,
329,654,
330,656,
331,663,
332,665,147.0
333,666,
334,668,
335,670,
336,672,
337,673,
338,675,
339,676,
340,677,
341,679,4861.0
342,680,
343,681,
344,684,
345,685,
346,687,1003928499625.0
347,688,
348,690,
349,691,
350,695,383.0
351,699,
352,701,
353,702,
354,703,385507.0
355,708,15128761344.0
356,709,
357,710,0.0
358,711,
359,712,
360,715,
361,716,
362,717,
363,719,
364,720,20472344560799.0
365,723,
366,724,
367,725,
368,726,
369,727,
370,728,
371,736,
372,739,
373,740,
374,741,
375,742,
376,743,
377,745,1.0
378,748,
379,749,
380,751,
381,752,
382,753,
383,754,
384,755,
385,757,
386,758,
387,760,
388,761,
389,762,
390,763,
391,765,0.0
392,767,
393,768,
394,769,
395,772,
396,773,
397,774,
398,778,
399,779,
400,781,
401,782,
402,783,
403,787,
404,788,
405,791,
406,795,
407,798,
408,799,
409,800,
410,802,
411,806,
412,808,9.845501530406943e+17
413,811,
414,812,
415,814,
416,815,
417,818,13.0
418,819,
419,821,
420,822,
421,825,
422,835,
423,836,
424,837,
425,838,
426,839,
427,840,
428,841,
429,844,
430,845,
431,846,
432,849,
433,851,
434,852,
435,855,
436,856,
437,860,
438,861,
439,864,
440,866,
441,867,
442,868,
443,869,
444,871,
445,872,
446,877,
447,878,
448,879,
449,880,
450,882,
451,885,
452,887,
453,890,
454,892,
455,896,
456,897,
457,898,
458,900,
459,901,
460,902,
461,903,
462,904,
463,906,
464,907,-16120.0
465,908,
466,913,
467,914,
468,915,
469,916,
470,918,
471,919,2.3335214333671834e+18
472,921,
473,922,
474,925,
475,927,
476,928,
477,929,
478,936,
479,940,23550975203.0
480,941,
481,942,
482,943,
483,944,1906400965570.0
484,946,
485,947,
486,950,
487,952,
488,953,1.667718169966657e+17
489,955,
490,957,
491,960,
492,961,
493,964,
494,967,
495,969,-12.0
496,974,
497,985,
498,986,
499,988,
500,991,
501,993,
502,994,
503,998,
504,1000,
505,1001,
506,1002,
507,1004,
508,1005,
509,1006,
510,1009,
511,1010,
512,1011,
513,1013,
514,1014,
515,1017,
516,1018,
517,1019,
518,1020,
519,1021,
520,1024,
521,1026,136.0
522,1027,
523,1029,
524,1030,
525,1031,
526,1033,26.0
527,1034,
528,1035,
529,1039,
530,1040,
531,1041,
532,1044,5919984.0
533,1045,
534,1046,
535,1047,
536,1048,
537,1049,
538,1051,
539,1057,
540,1059,
541,1060,
542,1063,
543,1067,
544,1081,
545,1084,
546,1085,
547,1087,
548,1088,
549,1089,260408317270.0
550,1090,2.3335214333671834e+18
551,1092,
552,1093,512.0
553,1094,
554,1095,-179.0
555,1096,
556,1097,
557,1099,
558,1104,
559,1106,
560,1108,
561,1111,
562,1112,
563,1118,
564,1119,
565,1121,2189.0
566,1122,
567,1123,
568,1130,
569,1132,1808.0
570,1133,
571,1134,
572,1135,
573,1137,
574,1140,
575,1142,
576,1143,
577,1145,
578,1148,
579,1153,
580,1156,
581,1158,
582,1161,
583,1165,
584,1167,8388569.0
585,1170,1.9948067446099104e+16
586,1174,
587,1175,
588,1177,
589,1178,26.0
590,1180,
591,1184,
592,1188,
593,1190,
594,1191,
595,1193,
596,1194,
597,1196,
598,1198,
599,1200,
600,1201,
601,1202,
602,1204,
603,1205,
604,1206,
605,1209,
606,1213,
607,1216,
608,1221,
609,1225,
610,1227,84889278690515.0
611,1228,
612,1230,
613,1233,
614,1237,
615,1239,
616,1240,
