,Id,recursion
0,3,
1,7,
2,8,
3,11,
4,13,2.8792920887348624e+22
5,15,
6,16,
7,18,
8,20,
9,21,
10,23,
11,24,
12,26,
13,28,
14,34,
15,35,
16,36,
17,40,
18,41,
19,44,
20,46,
21,49,
22,51,
23,52,
24,53,
25,57,
26,59,
27,61,
28,63,
29,64,
30,65,1.055292758307018e+17
31,66,
32,67,
33,69,
34,72,
35,73,
36,75,
37,76,536870855.0
38,77,14.0
39,82,
40,86,
41,89,8.414672385119616e+16
42,91,4323328543981.0
43,92,
44,94,
45,95,
46,100,
47,102,
48,104,5.0
49,105,
50,107,
51,108,
52,109,
53,110,
54,111,
55,112,
56,113,
57,118,
58,119,
59,123,
60,126,
61,130,
62,132,
63,133,
64,134,
65,135,
66,136,18369.0
67,137,
68,139,
69,141,
70,147,
71,149,
72,150,
73,152,
74,155,
75,158,
76,159,
77,160,
78,162,
79,163,
80,164,
81,165,
82,166,
83,167,
84,168,
85,171,
86,174,
87,176,
88,177,
89,178,
90,179,
91,181,24420.0
92,185,
93,186,
94,188,9772060.0
95,190,
96,192,
97,198,
98,202,8641.0
99,203,
100,204,
101,205,
102,208,
103,210,
104,211,
105,212,
106,213,
107,215,
108,217,
109,219,567.0
110,220,
111,221,
112,222,
113,223,
114,224,
115,225,
116,226,
117,227,
118,229,
119,237,
120,238,
121,241,
122,242,
123,244,
124,245,
125,246,
126,249,
127,251,
128,254,
129,255,
130,256,
131,258,
132,259,
133,262,
134,263,
135,264,
136,266,
137,268,
138,271,
139,272,
140,275,
141,276,
142,277,
143,278,
144,280,
145,282,
146,284,
147,286,
148,288,8372.0
149,289,1282274186177.0
150,290,
151,293,1.0100451202102523e+30
152,294,
153,295,
154,296,
155,297,
156,298,
157,299,
158,300,3.0
159,302,
160,303,
161,304,
162,305,
163,306,
164,308,
165,310,
166,311,
167,313,
168,315,
169,317,10.0
170,318,1.192092895507812e+16
171,319,
172,320,
173,323,
174,326,
175,327,
176,328,
177,329,
178,332,
179,334,
180,335,
181,336,
182,339,
183,340,
184,347,
185,350,
186,352,
187,354,
188,359,
189,361,
190,366,105.0
191,372,
192,373,
193,374,
194,377,
195,378,
196,379,
197,386,
198,387,
199,392,
200,394,
201,395,
202,400,
203,403,
204,406,
205,408,
206,410,
207,415,9.0
208,420,
209,421,
210,425,
211,426,
212,428,
213,429,
214,430,
215,431,
216,434,
217,436,353036920601.0
218,437,
219,438,
220,439,
221,441,3581.0
222,443,
223,444,
224,447,
225,448,941431788270.0
226,451,
227,455,
228,458,
229,461,
230,463,
231,464,
232,466,
233,467,
234,469,
235,470,
236,475,
237,477,
238,479,
239,483,34442484832455.0
240,486,
241,490,
242,492,
243,494,
244,499,
245,502,
246,503,
247,505,
248,506,
249,510,
250,511,
251,515,
252,516,
253,517,
254,518,
255,519,
256,520,
257,521,
258,525,
259,526,
260,533,
261,534,
262,535,
263,540,
264,541,59524119253665.0
265,546,
266,549,
267,554,
268,555,
269,556,
270,557,
271,558,
272,559,
273,566,
274,568,
275,569,
276,571,
277,572,
278,578,
279,579,
280,581,
281,582,
282,584,
283,585,
284,588,
285,589,
286,590,
287,592,
288,595,
289,597,
290,598,
291,601,
292,602,
293,604,
294,606,
295,608,
296,609,
297,610,
298,611,
299,612,2345.0
300,614,
301,615,
302,618,109132338348.0
303,619,
304,620,
305,621,
306,622,
307,623,
308,624,
309,627,
310,628,
311,630,
312,631,0.0
313,632,40339035696974.0
314,634,
315,637,
316,638,
317,641,
318,643,
319,644,5875792265345964.0
320,645,
321,646,
322,651,
323,653,
324,655,
325,657,
326,658,
327,659,
328,660,
329,661,
330,662,0.0
331,664,9435.0
332,667,
333,669,
334,671,
335,674,
336,678,
337,682,
338,683,
339,686,
340,689,
341,692,
342,693,
343,694,
344,696,
345,697,
346,698,
347,700,
348,704,
349,705,
350,706,
351,707,
352,713,
353,714,
354,718,
355,721,
356,722,
357,729,
358,730,
359,731,
360,732,
361,733,
362,734,
363,735,
364,737,
365,738,
366,744,40570567.0
367,746,
368,747,
369,750,
370,756,
371,759,
372,764,
373,766,
374,770,
375,771,126491971.0
376,775,
377,776,
378,777,
379,780,
380,784,
381,785,
382,786,
383,789,
384,790,
385,792,
386,793,
387,794,20.0
388,796,
389,797,
390,801,
391,803,
392,804,
393,805,
394,807,
395,809,
396,810,6217082.0
397,813,
398,816,
399,817,
400,820,
401,823,
402,824,
403,826,62597004.0
404,827,
405,828,
406,829,
407,830,
408,831,
409,832,
410,833,0.0
411,834,1.1878335717996657e+19
412,842,
413,843,
414,847,
415,848,
416,850,1007.0
417,853,
418,854,
419,857,
420,858,
421,859,1658.0
422,862,1193.0
423,863,
424,865,
425,870,
426,873,
427,874,
428,875,
429,876,
430,881,
431,883,
432,884,
433,886,
434,888,
435,889,
436,891,
437,893,100.0
438,894,
439,895,
440,899,
441,905,
442,909,
443,910,
444,911,
445,912,
446,917,
447,920,
448,923,
449,924,17347.0
450,926,
